Gloss,1,2,3,4,5,6,7,8,9,10,11,12
CHRISTMAS,,,,,,,,,,,,
CHURCH,,,,,,,,,,,,
CIGARETTE,,,,,,,,,,,,
CITY,,,,,,,,,,,,
CL:3,,,,,,,,,,,,
CL:4," """"LINE OF PEOPLE",""""" """"CURTAINS""""",,,,,,,,,,
CL:5, SCADS OF,,,,,,,,,,,
CL:A,,,,,,,,,,,,
CL:B, ROOF, FLAT, WALL,,,,,,,,,
CL:C, THICK THINGS, ROUND POLE-LIKE THINGS,,,,,,,,,,
CL:G, THINNESS ,,,,,,,,,,,
CL:L(BENT), LARGE, BIG-HEADED/EGOISTIC/CONCEITED, CHECK, CARD, SQUARE,,,,,,,
CL:V, STAND, WALK-TO, LAY DOWN, TOSS-AND-TURN, DIVE, JUMP, SKATE BOARD, SCOOTER, GET UP,,,
CLASS,,,,,,,,,,,,
CLASS, FAMILY,,,,,,,,,,,
CLASSIFIERS,,,,,,,,,,,,
CLEAN,,,,,,,,,,,,
CLEAR,,,,,,,,,,,,
CLEVER,,,,,,,,,,,,
CLIMB,,,,,,,,,,,,
CLOCK,,,,,,,,,,,,
CLOSE,,,,,,,,,,,,
CLOSE-CAPTIONED,,,,,,,,,,,,
CLOSE-THE-WINDOW,,,,,,,,,,,,
CLOSET,,,,,,,,,,,,
CLOTHES,,,,,,,,,,,,
CLOTHES, DRESS,,,,,,,,,,,
CLUB, #CLUB-(LEXICALIZED),,,,,,,,,,,
CLUSTER,,,,,,,,,,,,
COAT, JACKET,,,,,,,,,,,
COAT-ANIMAL,,,,,,,,,,,,
COCHLEAR IMPLANT,,,,,,,,,,,,
COFFEE,,,,,,,,,,,,
COIN,,,,,,,,,,,,
COINS, ALSO CL:F,,,,,,,,,,,
COKE,,,,,,,,,,,,
COLD, REFRIGERATOR,,,,,,,,,,,
COLLECT,,,,,,,,,,,,
COLLEGE, UNIVERSITY,,,,,,,,,,,
COLOR,,,,,,,,,,,,
COLORING,,,,,,,,,,,,
COMB,,,,,,,,,,,,
COME-ON [COME/GO,,,,,,,,,,,,
COME/[GO, COME ON, GO-THERE, GO-TO, ATTEND,,,,,,,,
COMMON SENSE,,,,,,,,,,,,
COMMUNICATION,,,,,,,,,,,,
COMMUTE,,,,,,,,,,,,
COMPLAIN,,,,,,,,,,,,
COMPLIMENT,,,,,,,,,,,,
COMPUTER,,,,,,,,,,,,
CONCLUDE,,,,,,,,,,,,
CONFLICT,,,,,,,,,,,,
CONGRATULATIONS,,,,,,,,,,,,
CONNECT,,,,,,,,,,,,
CONSTRUCTION,,,,,,,,,,,,
CONTAINER,,,,,,,,,,,,
CONTENTION,,,,,,,,,,,,
CONTINENT (COUNTRY),,,,,,,,,,,,
CONTINUE,,,,,,,,,,,,
CONVINCE,,,,,,,,,,,,
COOK,,,,,,,,,,,,
COOKIE,,,,,,,,,,,,
COOL (SPIFFY),,,,,,,,,,,,
COOL (TEMPERATURE),,,,,,,,,,,,
COPE,,,,,,,,,,,,
COPY,,,,,,,,,,,,
CORN,,,,,,,,,,,,
CORNER,,,,,,,,,,,,
COST, TAX, FINE, FEE,,,,,,,,,
COUCH,,,,,,,,,,,,
COUGH,,,,,,,,,,,,
COUNSEL,,,,,,,,,,,,
COUNT, ACCOUNTANT,,,,,,,,,,,
COUNT-ON, DEPEND,,,,,,,,,,,
COUNTRY,,,,,,,,,,,,
COURT, IF,,,,,,,,,,,
COUSIN,,,,,,,,,,,,
COVER, SHELL,,,,,,,,,,,
COW,,,,,,,,,,,,
COWBOY,,,,,,,,,,,,
CRACK,,,,,,,,,,,,
CRASH,,,,,,,,,,,,
CRAZY, NUTS, CRAZY-ABOUT,,,,,,,,,,
CREATE,,,,,,,,,,,,
CREATOR,,,,,,,,,,,,
CRITICIZE,,,,,,,,,,,,
CROCHET,,,,,,,,,,,,
CROCODILE,,,,,,,,,,,,
CROSSWALK,,,,,,,,,,,,
CRUEL,,,,,,,,,,,,
CRUSH,,,,,,,,,,,,
CRY (4),,,,,,,,,,,,
CUBBY,,,,,,,,,,,,
CULTURE,,,,,,,,,,,,
CUP,,,,,,,,,,,,
CUPCAKE,,,,,,,,,,,,
CURLEY-HAIR,,,,,,,,,,,,
CURTAINS,,,,,,,,,,,,
"CUT IT OUT!""",,,,,,,,,,,,
CUTE, SUGAR,,,,,,,,,,,
DAILY,,,,,,,,,,,,
DAIRY,,,,,,,,,,,,
DALLAS,,,,,,,,,,,,
DANCE,,,,,,,,,,,,
DANCER,,,,,,,,,,,,
DANDELION,,,,,,,,,,,,
DANGER,,,,,,,,,,,,
DARK,,,,,,,,,,,,
DATE,,,,,,,,,,,,
DAUGHTER, BABY,,,,,,,,,,,
DAY,,,,,,,,,,,,
DAYS OF THE WEEK,,,,,,,,,,,,
DEAD,,,,,,,,,,,,
DEAF,,,,,,,,,,,,
DEAF-SCHOOL,,,,,,,,,,,,
DEAFHOOD,,,,,,,,,,,,
DEAFNESS,,,,,,,,,,,,
DEAR,,,,,,,,,,,,
DECIDE, DETERMINE,,,,,,,,,,,
DECIMAL,,,,,,,,,,,,
DECLINE , DETERIORATE,,,,,,,,,,,
DECORATE,,,,,,,,,,,,
DECREASE,,,,,,,,,,,,
DEER,,,,,,,,,,,,
DELICIOUS,,,,,,,,,,,,
DENTIST,,,,,,,,,,,,
DENY,,,,,,,,,,,,
DEPEND,,,,,,,,,,,,
DEPLETE, GONE,,,,,,,,,,,
