EntryID;DominantGloss.Percent;NondominantGloss.Percent;AdditionalGloss.Number;;;;;;;;;;;;;;;;
sweep;sweep (63.0); sweeping (7.4);broom (29.6);broom (6); sweep (2);;;;;;;;;;;;;;
swing;swing (20.0); swinging (6.7);hammock (13.3); rock (6.7); rocking (6.7); stingray (6.7); sway (6.7); cradling (6.7); water (6.7); skateboard (6.7); leaf falling (6.7); surface bend like Pan (6.7);hammock (1) boat moves (1);;;;;;
sympathy;sympathy;poor (thing) (29.6); pity (25.9); mercy (3.7);pity (7); poor (5); sympathy (3); mercy (2);;;;;;;;;;;
tease;tease (48.1); teasing (14.8);(just) kidding (14.8); joking (14.8); joke (7.4);joking (5); kidding (3); teasing (1); joke (2);;;;;;;;;;
tennis;tennis;whip (3.2); sword (9.7);whack (1); ping pong (1);;;;;;;;;;;;;;
text;text (43.5); texting (17.4);video game (17.4); pager (17.4); which (4.35);page (1); email via phone (1); video game (1); texting (2); playing video game (1); use pager (1); text you (1);;;;;;;
thanksgiving;thanksgiving;;;;;;;;;;;;;;;;;;
theater;theater;show (14.8); play (14.8); act (11.1); acting (3.7); actor (3.7); actors (3.7);play (6); actor/actress (4); act (2); drama (2);  performance (2); perform (1); skit (1);;;;;
things;things;invite; invite-me (8.0); invited (4.0); materials 4.0);objects (1); things (1); resources (1); supplies (1); something (1);;;;;;;;;
think_over;think over;mindless (3.8); curly (3.8); running (3.8); in process (3.8); brainwashed (3.8); wired (3.8); curling hair on iron (3.8);insane (1); a lot on the mind (1);;;;;;;;;
tobacco;tobacco;chew tobacco (14.8); smirk (3.7);snug (1); chew tobacco (1); tobacco (chewable) (1);;;;;;;;;;;;;
toilet;toilet;bathroom (4);;;;;;;;;;;;;;;;;
trash;trash;garbage (12.9); bag (3.2);trash (2); garbage (4); purse (1);;;;;;;;;;;;;
vacation;vacation;holiday (1); off work (1);;;;;;;;;;;;;;;;
vacuum;vacuum (88.8); vacuuming (7.4);roast marshmallows (3.8);;;;;;;;;;;;;;;;
vegetable;vegetable (82.8); vegetables (17.2);vegetarian (2);;;;;;;;;;;;;;;;
videophone;videophone;videochat (4.0); webchat (4.0); webcam (4.0); talk via video (4.0); video conferencing (4.0);webcam (1); Skype (1); video chat (1);;;;;;;;;;
waiter;waiter (51.6); waitress (22.6);server (16.1); servant (3.2); deliverer (3.2); service (3.2);waitress (11); server (4); servant (1);;;;;;;;;;
wander;wander (51.6); wandering (9.7); wander off (3.2); wander around (3.2);67,74;walk away (12.9); roam (3.2); walking (3.2); walk alone (3.2); walking alone (3.2); person walks alone (3.2); walk around (3.2);walk (2); walk off (1); walk away (1);;;;
war;war;commotion (4.0);battle (5); fight (1);;;;;;;;;;;;;;;
wet;wet;soaked (4.0);;;;;;;;;;;;;;;;;
what_2;what;;;;;;;;;;;;;;;;;;
what_for;what-for?;none (3.3);;;;;;;;;;;;;;;;;
whistle;whistle;referee (44.4); umpire (7.4);referee (2); umpire (1);;;;;;;;;;;;;;
window;window (92.0) windows (8.0);;;;;;;;;;;;;;;;;;
witch;witch;big nose (8.7); big nosed (4.3); witch nose (4.3); parrot (4.3);;;;;;;;;;;;;;
wrong_2;wrong;mistake (3.3); accident (3.3); what's the matter? (3.3); why-not? (3.3);mistake (4); suddenly (1); error (1); mistaken (1); I am wrong (1); what's the matter? (1);;;;;;;;
zoom_in;zoom in;enlarge (20.8); expand (4.17); vlog (4.17); close up (4.17); full screen (4.17); blow up (4.17); screen appears (4.17); open up (4.17); open window (4.17); open a website page (4.17); vlog or blog open (4.17);blow up (2); pops up (as in window) (1); pull up the window/vlog (1); zoom in (1); enlarge (1); computer interface turn on (1);
zoom_off;zoom (off);train gone; zoom (14.8); take off (7.4); go (fast) (7.4); leave immediately (3.7); sprint (3.7); run off (3.7); something went by quickly! (3.7);take off (1); vanished (1); left disappeared (1); leave immediately (1); gone fast (3); dashed (1);;;;
